time,open,high,low,close,MA,MA,MA,MA,MA,MA,Relative Strength Line,Relative Strength Line MA,PlotCandle (開盤價),PlotCandle (最高價,PlotCandle (最低價),PlotCandle (關閉),Shapes,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2014-08-25,25.4475,25.5425,25.32,25.385,20.80710058500001,21.260316913333327,23.848364500000017,24.394124999999978,24.80974999999997,25.22700000000002,38.299637899818954,37.484793362319685,,,,,0,161080692,181998922.96,74.10381405700952,61.77519538653165,,,,,,
2014-08-26,25.355,25.375,25.215,25.22225,20.841695500000014,21.297153473333324,23.89180950000002,24.425487499999974,24.93272499999997,25.24495000000002,37.872762673180105,37.52006329967063,,,,,0,132607936,181806180.08,68.80438972740144,63.16950576374962,,,,,,
2014-08-27,25.255,25.6425,25.175,25.5325,20.876400950000015,21.334946459999994,23.942059500000017,24.475237499999974,25.054974999999967,25.32295000000002,38.29836701632984,37.590818183003286,,,,,0,209476044,183617593.2,72.79799010321784,65.00561402302354,,,,,,
2014-08-28,25.3975,25.695,25.39,25.5625,20.911526400000017,21.375346593333326,23.99240950000002,24.558362499999976,25.173724999999965,25.40645000000002,38.34144951302922,37.659057394823826,,,,,0,273839204,186413248.64,73.15585153767432,66.77173322790654,,,,,,
2014-08-29,25.715,25.725,25.55,25.625,20.946792565000013,21.41510862666666,24.04560950000002,24.637987499999973,25.28672499999997,25.465450000000022,38.50025541632861,37.73552994223335,,,,,0,178380988,187138653.52,73.92546717986423,68.16643629336407,,,,,,
2014-09-02,25.765,25.935,25.68,25.825,20.982947300000014,21.466680173333327,24.107559500000022,24.73436249999998,25.390224999999965,25.55345000000002,38.67233711196634,37.82069423039089,,,,,0,214257048,183351949.2,76.27000165703326,69.736340839532,,,,,76.27000165703326,
2014-09-03,25.775,25.8,24.645,24.735,21.012308110000017,21.512354099999992,24.148109500000018,24.782112499999975,25.350474999999967,25.45600000000002,37.060251313502604,37.75156305612832,,,,,0,501682084,189890039.6,49.923367314878995,69.03315951470404,,,,,,
2014-09-04,24.7125,25.0225,24.4475,24.53,21.041209810000012,21.556891839999995,24.18730950000002,24.821612499999976,25.289224999999966,25.25550000000002,36.78175856691591,37.66339901165446,,,,,0,342872884,193624610.32,46.658860616609296,68.02284107568485,,,,,,
2014-09-05,24.7,24.8475,24.5775,24.7425,21.072310080000015,21.602651479999995,24.230359500000024,24.877737499999974,25.248974999999966,25.09150000000002,37.15740995669912,37.61740000665852,,,,,0,233828140,195351689.84,50.287696578117384,67.13544183170026,,,,,,
2014-09-08,24.825,24.8275,24.5125,24.59,21.102483385000014,21.64717302666666,24.26765950000002,24.922987499999977,25.174974999999968,24.88450000000002,36.74335436890786,37.53794131231755,,,,,0,185426968,196449880.48,47.775762332023035,65.76456308275546,,,,,,
