time,open,high,low,close,50MA,150MA,200MA,Pivot,Handle Low,Buy Zone Upper,C&H Detected,Qualified Setup,Breakout Wait,Retest Seen,BUY Hold,BUY Retest,Pattern Failed,Breakout Failed,Stop,MA,MA,MA,MA,MA,MA,50MA,150MA,200MA,Pivot,Handle Low,Buy Zone Upper,C&H Detected,Qualified Setup,Breakout Wait,Retest Seen,BUY Hold,BUY Retest,Pattern Failed,Breakout Failed,Stop,Relative Strength Line,Relative Strength Line MA,PlotCandle (開盤價),PlotCandle (最高價,PlotCandle (最低價),PlotCandle (關閉),Shapes,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2025-06-23,166.27,167.34,162,165.19,164.45059999999978,,171.84460000000013,,,,0,0,0,0,0,0,0,0,0,171.84460000000013,174.33673333333334,164.45059999999978,172.13799999999998,174.02800000000008,171.57400000000007,164.45059999999978,,171.84460000000013,,,,0,0,0,0,0,0,0,0,0,83.0399557629632,86.18273788678096,,,,,0,57670985,39786543.48,42.67563388220106,57.07128040964615,,,42.67563388220106,,,
2025-06-24,166.92,168.22,166.13,166.77,164.7295999999998,,171.89620000000014,,,,0,0,0,0,0,0,0,0,0,171.89620000000014,174.25599999999997,164.7295999999998,172.05299999999994,173.09600000000006,169.57400000000007,164.7295999999998,,171.89620000000014,,,,0,0,0,0,0,0,0,0,0,83.03679902276454,85.89674344459765,,,,,0,40524312,39636590.28,45.37657085503149,56.6321936440152,,,,,,
2025-06-25,167.63,172.36,167.55,170.68,165.0003999999998,,171.96340000000012,,,,0,0,0,0,0,0,0,0,0,171.96340000000012,174.22333333333333,165.0003999999998,171.94199999999995,172.30400000000006,168.52000000000007,165.0003999999998,,171.96340000000012,,,,0,0,0,0,0,0,0,0,0,84.04859336297785,85.72872980081402,,,,,0,35478989,39673445.28,51.47034989576324,56.44433833313992,,,,,,
2025-06-26,172.43,173.69,169.94,173.54,165.28979999999981,,172.07650000000012,,,,0,0,0,0,0,0,0,0,0,172.07650000000012,174.23033333333333,165.28979999999981,172.00099999999995,171.92300000000006,168.56400000000008,165.28979999999981,,172.07650000000012,,,,0,0,0,0,0,0,0,0,0,85.45751499880994,85.70407390972274,,,,,0,31796690,39702719.94,55.39055277096989,56.52051920271432,,,,,,
2025-06-27,173.54,178.68,171.73,178.53,165.7341999999998,,172.22560000000013,,,,0,0,0,0,0,0,0,0,0,172.22560000000013,174.25186666666667,165.7341999999998,172.33449999999996,172.20600000000005,170.94200000000006,165.7341999999998,,172.22560000000013,,,,0,0,0,0,0,0,0,0,0,87.2152952038834,85.84145766373734,,,,,1,108140200,41314493.26,61.269195848985746,56.52025315964693,,,,,,
2025-06-30,180.78,181.23,174.58,176.23,166.1921999999998,,172.3634500000001,,,,0,0,0,0,0,0,0,0,0,172.3634500000001,174.23926666666665,166.1921999999998,172.55899999999997,172.36200000000005,173.15000000000006,166.1921999999998,,172.3634500000001,,,,0,0,0,0,0,0,0,0,0,85.64444329248931,85.82354726635116,,,,,0,63378856,42018321.96,57.50747532576315,56.065058410905046,,,,,,
2025-07-01,175.735,176.09,173.53,175.84,166.68579999999977,,172.48685000000012,,,,0,0,0,0,0,0,0,0,0,172.48685000000012,174.23833333333332,166.68579999999977,172.8995,172.26900000000006,174.96400000000008,166.68579999999977,,172.48685000000012,,,,0,0,0,0,0,0,0,0,0,85.01613230748406,85.75014590645415,,,,,0,35904526,42075480.96,56.869875662038254,55.383179881409816,,,,,,
2025-07-02,175.54,178.86,175.07,178.64,167.3051999999998,,172.60660000000016,,,,0,0,0,0,0,0,0,0,0,172.60660000000016,174.31173333333334,167.3051999999998,173.52249999999998,172.53800000000007,176.55600000000004,167.3051999999998,,172.60660000000016,,,,0,0,0,0,0,0,0,0,0,86.4663231160919,85.81525292551213,,,,,1,29128947,42137077.6,60.27523699330552,55.116693916568316,,,,,,
2025-07-03,178.5,179.67,177.05,179.53,167.86639999999977,,172.71695000000014,,,,0,0,0,0,0,0,0,0,0,172.71695000000014,174.4102,167.86639999999977,174.09649999999996,173.15900000000005,177.75400000000008,167.86639999999977,,172.71695000000014,,,,0,0,0,0,0,0,0,0,0,86.48699860776792,85.8763207148081,,,,,0,21689729,42031436.7,61.32062753907111,55.14915039831154,,,,,61.32062753907111,
2025-07-07,179.06,179.297,175.68,176.79,168.2951999999998,,172.81060000000014,,,,0,0,0,0,0,0,0,0,0,172.81060000000014,174.4711333333333,168.2951999999998,174.52549999999997,174.17400000000006,177.40600000000006,168.2951999999998,,172.81060000000014,,,,0,0,0,0,0,0,0,0,0,84.46242929215717,85.74778513093075,,,,,0,34175648,42092373,56.399780072706925,54.968913790178995,,,,,,
2025-07-08,177.85,177.95,172.81,174.36,168.59679999999977,,172.88580000000013,,,,0,0,0,0,0,0,0,0,0,172.88580000000013,174.50606666666664,168.59679999999977,174.55949999999999,175.09100000000007,177.03200000000007,168.59679999999977,,172.88580000000013,,,,0,0,0,0,0,0,0,0,0,83.96161149536357,85.58540570951556,,,,,0,40442535,41983344.68,52.38483775766831,54.30970055507262,,,52.38483775766831,,,
2025-07-09,175.25,179.44,172.77,176.62,168.8899999999998,,172.96985000000012,,,,0,0,0,0,0,0,0,0,0,172.96985000000012,174.5553333333333,168.8899999999998,174.58599999999996,176.07600000000008,177.18800000000007,168.8899999999998,,172.96985000000012,,,,0,0,0,0,0,0,0,0,0,85.11109933162102,85.54228694788878,,,,,0,43025594,41723176.66,55.553843045879056,53.99482275897089,,,,,,
2025-07-10,175.63,178.429,174.38,177.62,169.2301999999998,,173.04725000000013,,,,0,0,0,0,0,0,0,0,0,173.04725000000013,174.6131333333333,169.2301999999998,174.53699999999998,176.77000000000004,176.9840000000001,169.2301999999998,,173.04725000000013,,,,0,0,0,0,0,0,0,0,0,85.07723625913063,85.50000961254713,,,,,0,29252386,41713308.74,56.92008853710895,54.14050154970835,,,,,,
2025-07-11,176.785,181.43,176.48,180.19,169.6307999999998,,173.13025000000013,,,,0,0,0,0,0,0,0,0,0,173.13025000000013,174.6711333333333,169.6307999999998,174.67899999999997,177.43500000000006,177.11600000000007,169.6307999999998,,173.13025000000013,,,,0,0,0,0,0,0,0,0,0,86.07158381458711,85.55197090364167,,,,,1,34282922,41862788.02,60.29783123647473,55.26513567306913,,,,,,
2025-07-14,181.01,183.67,179.68,181.56,170.0859999999998,,173.22880000000015,,,,0,0,0,0,0,0,0,0,0,173.22880000000015,174.73926666666665,170.0859999999998,174.97199999999995,177.73800000000006,178.07000000000008,170.0859999999998,,173.22880000000015,,,,0,0,0,0,0,0,0,0,0,87.01319863125306,85.68480978796998,,,,,0,32536632,41813899.48,62.00791361995403,56.64601279719434,,,,,,
